,freesound_id,path,start_sample,end_sample,mean_pitch,loudness,voiced_fraction,pitch_drift_cents,pitch_confidence,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
48,158976,data/collections/barnyard/sounds/158976_1386366-hq.ogg,49664,62720,76.0,0.013289766301742672,1.0,29.211262813533136,0.046383678913116455,-994.3826,147.42198,-6.100029,-36.1532,-19.747221,-4.619908,-18.813377,13.741099,57.897827,57.34053,17.464197,-7.653736,-9.159484
49,55158,data/collections/barnyard/sounds/55158_4948-hq.ogg,45056,59392,78.0,0.021120750762357036,1.0,21.541467363567858,0.07153220474720001,-884.6253,152.0797,-27.953987,-50.52865,-14.192876,21.385487,14.9182625,8.893185,16.7587,30.35567,24.772963,-18.902071,-44.748775
50,55158,data/collections/barnyard/sounds/55158_4948-hq.ogg,59648,87552,79.0,0.01647287687366262,1.0,14.673046314889026,0.07153220474720001,-884.81354,145.46135,-29.814,-50.06879,-16.665213,17.363363,20.991463,23.040932,27.526855,35.789196,20.352636,-35.773464,-53.446243
51,432758,data/collections/barnyard/sounds/432758_5140792-hq.ogg,17408,30592,62.0,0.36152577095822463,1.0,28.589428786196258,0.5923380255699158,-652.81,176.31012,-101.47167,-78.88964,-75.69061,-9.017518,-9.643659,-12.382775,-5.1888633,5.86815,15.616283,3.664058,-11.34587
52,432758,data/collections/barnyard/sounds/432758_5140792-hq.ogg,30848,48384,63.0,0.2897415025648216,1.0,24.918142464415915,0.5923380255699158,-830.0785,293.28506,-85.17609,-141.71895,-57.026165,-16.659195,-31.768465,-18.547459,7.166738,4.354974,-0.78692234,2.2726686,-3.4126124
53,158974,data/collections/barnyard/sounds/158974_1386366-hq.ogg,29568,42752,77.0,0.01264632378286204,1.0,25.52250524488105,0.04540102183818817,-962.23785,175.9087,7.2938504,-48.39488,-51.903553,-32.31275,-16.2857,32.42064,55.748196,37.65412,2.590288,9.981334,22.568338
54,158974,data/collections/barnyard/sounds/158974_1386366-hq.ogg,43008,59008,76.0,0.008142094264477127,1.0,12.33515980911022,0.04540102183818817,-1008.32166,143.55397,11.614096,-18.225142,-23.037128,-16.097004,-24.298613,21.615877,70.606674,60.79156,12.892024,-8.919362,1.7866648
55,158974,data/collections/barnyard/sounds/158974_1386366-hq.ogg,59264,75904,76.0,0.012928132862542656,1.0,16.24323017749018,0.04540102183818817,-993.93365,148.9795,8.075472,-19.057095,-17.88808,-11.335391,-19.563366,22.740011,68.077934,60.383213,15.029482,-8.962028,1.3709482
56,158974,data/collections/barnyard/sounds/158974_1386366-hq.ogg,76160,97024,77.0,0.012104089176115957,1.0,29.617149492954056,0.04540102183818817,-997.9845,153.52509,17.250103,-26.78638,-36.869984,-17.863956,-6.2197857,36.39045,68.339264,55.34864,13.694351,-8.754059,-3.3244598
57,382736,data/collections/barnyard/sounds/382736_954919-hq.ogg,9344,23296,67.0,0.357543515546587,1.0,35.861092453296195,0.4777584969997406,-543.8691,169.75008,-91.36684,-63.728214,-44.912907,-5.842728,-16.168583,-3.3070636,-11.892873,2.9975538,-1.5449216,-3.2677243,-2.4980273
